;LINIE;NR;RICHTUNG;LBEZ;EXT_NR;TYP;ZIEL;ROUTEN_ZNR;LINIEN_KBEZ
0;1;1;0;Standard;1;1;10;;
1;1;2;0;Standard;2;1;10;;
2;1;3;0;Bahnhof-Staad / Autofähre;3;1;11;;
3;3;1;0;Standard;1;1;30;;
4;3;2;0;Sonntag;2;1;410;;
5;4;4;1;4 Nachtschwärmer;4;1;799;;
6;4;13;0;13 Nachtschwärmer;13;1;800;;
7;5;1;1;Standard;1;1;81;;
8;5;2;0;Standard S;2;1;90;;
9;5;3;0;Standard W;3;1;90;;
10;5;5;0;So Horn;5;1;82;;
11;5;6;1;Marktstätte / Bahnhof-Laube/Niederburg;6;1;84;;
12;6;1;1;Bahnhof-ZfP Reichenau;1;1;100;;
13;6;2;0;Wollmatingen / Rathaus-Marktstätte / Bahnhof;2;1;91;;
14;6;3;0;ZfP Reichenau-Marktstätte / Bahnhof;3;1;91;;
15;6;4;1;Bahnhof-Wollmatingen / Rathaus;4;1;103;;
16;6;6;0;Stadtwerke-Marktstätte / Bahnhof;6;1;91;;
17;6;9;0;ZfP Reichenau-Wollmatingen / Kindlebildstr.;9;1;102;;
18;6;10;1;Bahnhof-Litzelstetten / Zum Purren;10;1;113;;
19;6;14;0;Litzelstetten / Zum Purren-Marktstätte / Bahnhof;14;1;91;;
20;6;17;1;Wollmatingen / Rathaus-Litzelstetten / Zum Purren;17;1;108;;
21;6;18;1;Bahnhof-Byk-Gulden-Straße ;18;1;106;;
22;6;24;0;Wallhausen / Hafen-Marktstätte / Bahnhof;24;1;91;;
23;6;27;1;Neuwerk-ZfP Reichenau;27;1;112;;
24;9;1;0;9A;1;1;150;;
25;9;2;0;9B;2;1;151;;
26;9;3;0;9 AAB;3;1;150;;
27;9;4;0;9 BAB;4;1;158;;
28;9;5;0;B Konzil;5;1;162;;
29;9;6;0;9 auf 14;6;1;161;;
30;9;8;0;14 auf 9;8;1;167;;
31;9;9;0;9BA Konzil;9;1;160;;
32;9;10;0;9 BAB kurz;10;1;158;;
33;9;11;0;9 AB kurz;11;1;159;;
34;9;13;0;9A;13;1;152;;
35;9;14;0;Schottenplatz-Universität;14;1;159;;
36;9;15;0;Bürgerbüro-Universität;15;1;154;;
37;9;16;0;Tannenhof-Universität;16;1;154;;
38;9;17;0;9A;17;1;167;;
39;9;18;0;ab Schulth;18;1;152;;
40;11;1;0;Standard U;1;1;184;;
41;11;2;1;Standard U;2;1;183;;
42;11;5;1;Standard U;5;1;174;;
43;11;6;0;Ding;6;1;185;;
44;11;7;1;über Schwaketen;7;1;180;;
45;11;9;0;kurz;9;1;170;;
46;11;10;0;wBhf;10;1;168;;
47;11;11;0;kurz;11;1;170;;
48;14;1;0;Standard;1;1;210;;
49;14;2;0;Standard;2;1;96;;
50;14;3;0;über Bahnhof;3;1;210;;
51;14;4;0;Standard;4;1;210;;
52;15;2;1;Kurs 7:10;2;1;270;;
53;15;3;0;Standard;3;1;330;;
54;15;4;1;Standard;4;1;270;;
55;15;5;0;Kurs 16:10;5;1;330;;
56;93;1;0;Standard;1;1;157;;
57;93;2;1;Standard;2;1;156;;
58;123;3;0;Standard;3;1;223;;
59;123;5;1;Standard;5;1;220;;
60;123;7;1;Kurs 20:27;7;1;220;;
61;134;1;0;Standard;1;1;790;;
62;134;2;0;Standard kurz;2;1;790;;
63;134;3;0;ab Wallh;3;1;792;;
64;134;4;0;Bahnhof-Marktstätte / Bahnhof;4;1;794;;
65;212;1;0;Standard;1;1;422;;
66;212;2;0;kurz;2;1;423;;
67;413;1;0;Standard;1;1;774;;
68;413;2;0;bis Wallhausen;2;1;780;;
69;413;3;0;über Staad;3;1;774;;
70;413;4;0;über Wollmatingen;4;1;779;;
71;908;1;0;ü Bäckerhüsli;1;1;122;;
72;908;2;1;ü Bäckerhüsli;2;1;121;;
73;908;3;0;So - Bäckerhüsli;3;1;124;;
74;908;4;1;So Bäckerhüsli;4;1;125;;
