;NR;BTB;KBEZ;LBEZ;IBEZ
0;1;1;1;Bahnhof - Staad und zurück über Laube - Schultheiß;1
1;3;1;3;Berchengebiet - Zähringerplatz - Laube - Bahnhof -;3
2;4;1;N;Nachtschwärmer;N
3;5;1;5;Bodensee-Therme - Marktstätte;5
4;6;1;6;Litzelstetten - Wollmatingen - Industriegebiet - M;6
5;9;1;9;Uni - Laube - Bahnhof - Uni 15 min Takt;9
6;11;1;11;Bahnhof Wollmatingen - Universität;11
7;14;1;14;Pfeiferhölzle - Königsbau - Laube - Bahnhof - Pfei;14
8;15;1;15;Bahnhof Wollmatingen - Industriegebiet - Staad;15
9;93;1;9C;Universität - Friedrichstraße - Zähringerplatz und;9C
10;123;1;12/3;Rundkurs Bahnhof - Schwaketen - Berchengebiet - La;12/3
11;134;1;13/4;Linie134 neu;13/4
12;212;1;2/12;Wollmatinger Achse Baustelle;2/12
13;413;1;4/13;Linie 413 neu;4/13
14;908;1;908;Zähringerplatz-Bahnhof KN-Kreuzlingen-Landschlacht;908
